pid,title,published_date,event_date,url
11520,112年9月4日天然災害停止辦公及上課情形,2023-09-05,2023-09-04,https://www.dgpa.gov.tw/information?uid=374&pid=11520
11518,112年9月3日天然災害停止辦公及上課情形,2023-09-04,2023-09-03,https://www.dgpa.gov.tw/information?uid=374&pid=11518
11517,112年9月2日天然災害停止辦公及上課情形,2023-09-04,2023-09-02,https://www.dgpa.gov.tw/information?uid=374&pid=11517
11513,112年8月31日天然災害停止辦公及上課情形,2023-09-01,2023-08-31,https://www.dgpa.gov.tw/information?uid=374&pid=11513
11512,112年8月30日天然災害停止辦公及上課情形,2023-08-31,2023-08-30,https://www.dgpa.gov.tw/information?uid=374&pid=11512
11509,112年8月29日天然災害停止辦公及上課情形,2023-08-30,2023-08-29,https://www.dgpa.gov.tw/information?uid=374&pid=11509
11497,112年8月23日天然災害停止辦公及上課情形,2023-08-28,2023-08-23,https://www.dgpa.gov.tw/information?uid=374&pid=11497
11493,112年8月17日天然災害停止辦公及上課情形,2023-08-18,2023-08-17,https://www.dgpa.gov.tw/information?uid=374&pid=11493
11489,112年8月13日天然災害停止辦公及上課情形,2023-08-14,2023-08-13,https://www.dgpa.gov.tw/information?uid=374&pid=11489
11488,112年8月12日天然災害停止辦公及上課情形,2023-08-14,2023-08-12,https://www.dgpa.gov.tw/information?uid=374&pid=11488
11487,112年8月11日天然災害停止辦公及上課情形,2023-08-14,2023-08-11,https://www.dgpa.gov.tw/information?uid=374&pid=11487
11485,112年8月10日天然災害停止辦公及上課情形,2023-08-11,2023-08-10,https://www.dgpa.gov.tw/information?uid=374&pid=11485
11478,112年8月9日天然災害停止辦公及上課情形,2023-08-10,2023-08-09,https://www.dgpa.gov.tw/information?uid=374&pid=11478
11477,112年8月8日天然災害停止辦公及上課情形,2023-08-10,2023-08-08,https://www.dgpa.gov.tw/information?uid=374&pid=11477
11476,112年8月7日天然災害停止辦公及上課情形,2023-08-08,2023-08-07,https://www.dgpa.gov.tw/information?uid=374&pid=11476
11474,112年8月6日天然災害停止辦公及上課情形,2023-08-07,2023-08-06,https://www.dgpa.gov.tw/information?uid=374&pid=11474
11473,112年8月5日天然災害停止辦公及上課情形,2023-08-07,2023-08-05,https://www.dgpa.gov.tw/information?uid=374&pid=11473
11472,112年8月4日天然災害停止辦公及上課情形,2023-08-07,2023-08-04,https://www.dgpa.gov.tw/information?uid=374&pid=11472
11469,112年8月3日天然災害停止辦公及上課情形,2023-08-04,2023-08-03,https://www.dgpa.gov.tw/information?uid=374&pid=11469
11468,112年8月2日天然災害停止辦公及上課情形,2023-08-04,2023-08-02,https://www.dgpa.gov.tw/information?uid=374&pid=11468
11466,112年7月28日天然災害停止辦公及上課情形,2023-07-31,2023-07-28,https://www.dgpa.gov.tw/information?uid=374&pid=11466
11465,112年7月27日天然災害停止辦公及上課情形,2023-07-28,2023-07-27,https://www.dgpa.gov.tw/information?uid=374&pid=11465
