group,rows,stopped_signal_rows,stopped_signal_rate
same_year_presidential,1627,740,0.4548
same_year_local,1158,482,0.4162
next_year_presidential,1177,469,0.3985
next_year_local,1783,773,0.4335
major_election_within_180_days,2184,896,0.4103
off_cycle,225,58,0.2578
