notice_pid,notice_date,county,work_status,class_status,period,stopped_score,raw_text,source_url
10303,2020-11-05,高雄市,normal,normal,full_day,0.0,尚未列入警戒區。,https://www.dgpa.gov.tw/information?uid=374&pid=10303
10303,2020-11-05,屏東縣,stopped,stopped,full_day,1.0,恆春鎮:明天停止上班、停止上課。 車城鄉:明天停止上班、停止上課。 滿州鄉:明天停止上班、停止上課。 枋山鄉:明天停止上班、停止上課。 獅子鄉:明天停止上班、停止上課。 牡丹鄉:明天停止上班、停止上課。,https://www.dgpa.gov.tw/information?uid=374&pid=10303
10303,2020-11-05,宜蘭縣,normal,normal,full_day,0.0,尚未列入警戒區。,https://www.dgpa.gov.tw/information?uid=374&pid=10303
10303,2020-11-05,花蓮縣,normal,normal,full_day,0.0,尚未列入警戒區。,https://www.dgpa.gov.tw/information?uid=374&pid=10303
10303,2020-11-05,臺東縣,stopped,stopped,full_day,1.0,綠島鄉:明天停止上班、停止上課。 蘭嶼鄉:明天停止上班、停止上課。,https://www.dgpa.gov.tw/information?uid=374&pid=10303
10303,2020-11-05,澎湖縣,normal,normal,full_day,0.0,尚未列入警戒區。,https://www.dgpa.gov.tw/information?uid=374&pid=10303
10303,2020-11-05,連江縣,normal,normal,full_day,0.0,尚未列入警戒區。,https://www.dgpa.gov.tw/information?uid=374&pid=10303
10303,2020-11-05,金門縣,normal,normal,full_day,0.0,尚未列入警戒區。,https://www.dgpa.gov.tw/information?uid=374&pid=10303
10304,2020-11-06,基隆市,normal,normal,full_day,0.0,尚未列入警戒區。 明天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10304
10304,2020-11-06,臺北市,normal,normal,full_day,0.0,尚未列入警戒區。 明天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10304
10304,2020-11-06,新北市,normal,normal,full_day,0.0,尚未列入警戒區。 明天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10304
10304,2020-11-06,桃園市,normal,normal,full_day,0.0,尚未列入警戒區。 明天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10304
10304,2020-11-06,新竹市,normal,normal,full_day,0.0,尚未列入警戒區。 明天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10304
10304,2020-11-06,新竹縣,normal,normal,full_day,0.0,尚未列入警戒區。 明天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10304
10304,2020-11-06,苗栗縣,normal,normal,full_day,0.0,尚未列入警戒區。 明天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10304
10304,2020-11-06,臺中市,normal,normal,full_day,0.0,尚未列入警戒區。 明天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10304
10304,2020-11-06,彰化縣,normal,normal,full_day,0.0,尚未列入警戒區。 明天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10304
10304,2020-11-06,雲林縣,normal,normal,full_day,0.0,尚未列入警戒區。 明天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10304
10304,2020-11-06,南投縣,normal,normal,full_day,0.0,尚未列入警戒區。 明天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10304
10304,2020-11-06,嘉義市,normal,normal,full_day,0.0,尚未列入警戒區。 明天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10304
10304,2020-11-06,嘉義縣,normal,normal,full_day,0.0,尚未列入警戒區。 明天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10304
10304,2020-11-06,臺南市,normal,normal,full_day,0.0,今天照常上班、照常上課。 明天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10304
10304,2020-11-06,高雄市,normal,normal,full_day,0.0,今天照常上班、照常上課。 明天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10304
10304,2020-11-06,屏東縣,stopped,stopped,full_day,1.0,明天未達停止上班及上課標準。 恆春鎮:今天停止上班、停止上課。 車城鄉:今天停止上班、停止上課。 滿州鄉:今天停止上班、停止上課。 枋山鄉:今天停止上班、停止上課。 獅子鄉:今天停止上班、停止上課。 牡丹鄉:今天停止上班、停止上課。,https://www.dgpa.gov.tw/information?uid=374&pid=10304
10304,2020-11-06,宜蘭縣,normal,normal,full_day,0.0,尚未列入警戒區。 明天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10304
10304,2020-11-06,花蓮縣,normal,normal,full_day,0.0,尚未列入警戒區。 明天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10304
10304,2020-11-06,臺東縣,stopped,stopped,afternoon,0.5,明天未達停止上班及上課標準。 太麻里鄉:今天下午04:00起停止上班、停止上課。 大武鄉:今天下午03:00起停止上班、停止上課。 綠島鄉:今天停止上班、停止上課。 金峰鄉:今天下午03:00起停止上班、停止上課。 達仁鄉:今天下午03:00起停止上班、停止上課。 蘭嶼鄉:今天停止上班、停止上課。,https://www.dgpa.gov.tw/information?uid=374&pid=10304
10304,2020-11-06,澎湖縣,normal,normal,full_day,0.0,尚未列入警戒區。 明天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10304
10304,2020-11-06,連江縣,normal,normal,full_day,0.0,尚未列入警戒區。 明天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10304
10304,2020-11-06,金門縣,normal,normal,full_day,0.0,尚未列入警戒區。 明天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10304
10307,2020-11-07,基隆市,normal,normal,full_day,0.0,今天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10307
10307,2020-11-07,臺北市,normal,normal,full_day,0.0,今天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10307
10307,2020-11-07,新北市,normal,normal,full_day,0.0,今天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10307
10307,2020-11-07,桃園市,normal,normal,full_day,0.0,今天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10307
10307,2020-11-07,新竹市,normal,normal,full_day,0.0,今天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10307
10307,2020-11-07,新竹縣,normal,normal,full_day,0.0,今天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10307
10307,2020-11-07,苗栗縣,normal,normal,full_day,0.0,今天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10307
10307,2020-11-07,臺中市,normal,normal,full_day,0.0,今天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10307
10307,2020-11-07,彰化縣,normal,normal,full_day,0.0,今天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10307
10307,2020-11-07,雲林縣,normal,normal,full_day,0.0,今天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10307
10307,2020-11-07,南投縣,normal,normal,full_day,0.0,今天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10307
