notice_pid,notice_date,county,work_status,class_status,period,stopped_score,raw_text,source_url
13021,2026-06-27,臺南市,stopped,unknown,full_day,1.0,今天未達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=13021
13021,2026-06-27,高雄市,stopped,unknown,morning,0.5,今天未達停止上班及上課標準。 桃源區:今天上午08:00起已達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=13021
13021,2026-06-27,屏東縣,stopped,stopped,full_day,1.0,東港鎮:今天停止上班、停止上課。 新園鄉:今天停止上班、停止上課。 崁頂鄉:今天停止上班、停止上課。 林邊鄉:今天停止上班、停止上課。 南州鄉:今天停止上班、停止上課。 佳冬鄉:今天停止上班、停止上課。,https://www.dgpa.gov.tw/information?uid=374&pid=13021
13021,2026-06-27,花蓮縣,stopped,stopped,full_day,1.0,萬榮鄉萬榮村、明利村及鳳林鎮森榮里、長橋里、山興里、鳳信里:今天中午12:00起停止上班、停止上課。,https://www.dgpa.gov.tw/information?uid=374&pid=13021
13022,2026-06-28,屏東縣,normal,normal,full_day,0.0,今天照常上班、照常上課。,https://www.dgpa.gov.tw/information?uid=374&pid=13022
13022,2026-06-28,花蓮縣,stopped,stopped,full_day,1.0,萬榮鄉萬榮村、明利村及鳳林鎮森榮里、長橋里、山興里、鳳信里:今天停止上班、停止上課。,https://www.dgpa.gov.tw/information?uid=374&pid=13022
